Temp Sensor 1,Temp Sensor 2,Light Percentage,Soil Moisture 1,Soil Moisture 2,Humidity,Timestamp
21.3,26.2,53,52.6,51.4,40.6,1719006354410
21.3,26.2,52.1,52.7,51.6,40.8,1719006380914
21.3,26.2,51.8,52.8,51.6,41.2,1719006436055
21.3,26.1,52.2,52.5,51.8,42,1719006491136
21.3,26.1,51.7,52.7,51.7,42.6,1719006546217
21.3,26.2,51.7,52.7,51.8,43.2,1719006601357
21.3,26.1,53,52.5,51.6,43.7,1719006656438
21.3,26.2,54.7,52.6,51.7,44,1719006711519
21.3,26.1,55.5,52.6,51.8,44.6,1719006766600
21.3,26.2,54.8,52.7,51.7,44.9,1719006821739
21.3,26.2,54.2,52.7,51.6,45.2,1719006876822
21.4,26.2,53.5,52.6,51.7,45.4,1719006931909
21.4,26.2,55,52.6,51.7,45.6,1719006987044
21.4,26.2,54.3,52.6,51.8,46.1,1719007042122
21.4,26.2,53.9,52.6,51.6,46.2,1719007097204
21.4,26.2,54.2,52.7,51.9,46.4,1719007152344
21.4,26.2,55.7,52.3,51.6,46.6,1719007207426
21.4,26.2,56.3,52.7,51.6,46.6,1719007262506
21.4,26.1,56.2,52.6,51.7,45.3,1719007317647
21.4,26.1,56.4,52.6,51.6,44.6,1719007372728
21.4,26.1,55.5,52.3,51.7,44.1,1719007427808
21.4,26.1,54.8,52.4,51.8,43.8,1719007482950
21.4,26,54.7,52.6,51.6,43.6,1719007538029
21.4,26,53.8,52.6,51.6,43.1,1719007593110
21.4,26,51.9,52.6,51.7,42.5,1719007648251
21.4,26,50.5,52.6,51.6,41.7,1719007703331
21.4,25.8,50.2,52.5,51.7,41.4,1719007758412
21.4,25.8,50.2,52.5,51.6,42.2,1719007813493
21.4,25.8,50.3,52.6,51.8,43.3,1719007868635
21.4,25.7,50.8,52.3,51.9,43.8,1719007923715
21.4,25.6,51.2,52.7,51.9,44.2,1719007978795
21.4,25.6,50.7,52.7,51.7,44.5,1719008033937
