Temp Sensor 1,Temp Sensor 2,Light Percentage,Soil Moisture 1,Soil Moisture 2,Humidity,Timestamp
21.1,24.6,49.1,39,42.6,48.6,1720297800893
21.1,24.6,49.1,39,42.6,48.6,1720297809953
21.1,24.6,53.9,39,42.7,48.5,1720297856138
21.1,24.6,52,38.9,42.5,48.7,1720297911219
21.2,24.6,46.4,39.1,42.6,49.1,1720297966300
21.2,24.7,49.2,39.1,42.5,49,1720298021442
21.2,24.7,47.2,39,42.6,48.8,1720298076536
21.2,24.7,50.5,38.9,42.6,48.3,1720298131686
21.2,24.7,49.4,39.2,42.7,48.9,1720298186827
21.2,24.8,51.6,39,42.6,48.8,1720298241785
21.2,24.7,55.9,38.8,42.5,48.8,1720298296866
21.2,24.7,57.2,39,42.6,49,1720298352006
21.3,24.8,57.5,39,42.5,49.1,1720298407022
21.3,24.8,54.4,39,42.5,49,1720298462103
21.3,24.9,52.6,39.1,42.5,48.6,1720298517243
21.3,24.9,53.8,38.9,42.6,48.6,1720298572323
21.3,25,52.8,38.9,42.5,48.4,1720298627405
21.3,25,54.4,39,42.5,48.5,1720298682486
21.3,25,53.7,38.9,42.5,48.8,1720298737626
21.3,25,57.9,38.9,42.5,48.7,1720298792707
21.3,25,56.6,39,42.5,48.8,1720298847788
21.3,25,53.8,38.8,42.4,48.4,1720298902928
21.4,25,50.8,39.3,42.6,48.4,1720298958009
21.3,25,52.7,39,42.6,48.2,1720299013090
21.4,25,53.6,39,42.6,48.2,1720299068231
21.4,25.1,51.6,39.1,42.5,48.4,1720299123311
21.4,25.1,53.2,38.8,42.4,48.3,1720299178392
21.4,25.2,54.3,39,42.6,48.4,1720299233534
21.4,25.2,53.6,38.9,42.4,48.2,1720299288615
21.4,25.2,50.8,38.9,42.4,48.2,1720299343695
21.4,25.2,52.7,38.8,42.4,49.2,1720299398836
21.4,25.1,57.5,38.9,42.4,47.7,1720299453917
21.4,25,52.8,38.8,42.4,47.2,1720299508998
21.4,25,47.3,38.7,42.6,46.8,1720299564139
21.4,24.9,45.5,39,42.5,46.3,1720299619219
21.4,24.7,48.1,39.1,42.5,46.2,1720299674301
21.4,24.6,71.5,38.7,42.6,46,1720299729381
21.4,24.5,74.3,39,42.6,46.1,1720299784522
21.5,24.4,74.3,39,42.6,46.1,1720299839602
21.5,24.4,74.2,38.9,42.6,45.8,1720299894684
21.6,24.4,74.4,38.8,42.5,45.4,1720299949824
21.6,24.4,74.2,38.7,42.6,45.3,1720300004905
21.6,24.4,67.7,38.7,42.6,44.9,1720300059986
21.6,24.3,74.3,38.9,42.8,44.4,1720300115127
21.7,24.2,75,38.7,42.6,44.9,1720300170208
21.7,24.2,57.8,38.5,42.6,44.7,1720300225289
21.7,24.2,51,38.9,42.7,43.7,1720300280429
21.7,24.2,64.5,38.6,42.6,43.4,1720300335510
21.6,24,72,38.7,42.6,43.6,1720300390591
21.7,24,64.8,38.7,42.6,43.7,1720300445731
21.6,24,62.5,38.6,42.6,43.2,1720300500812
21.7,23.9,69.4,38.7,42.6,42.8,1720300555893
21.7,23.9,73.7,38.6,42.6,43,1720300611034
21.7,23.9,73.7,38.4,42.6,43.2,1720300666114
21.8,23.9,73.8,38.3,42.6,42.9,1720300721195
21.8,23.9,73.6,38.1,42.6,42.5,1720300776276
21.8,23.9,73.3,38.1,42.6,42.4,1720300831417
21.8,24,73.1,38.1,42.7,42.1,1720300886498
21.8,24,73.2,37.9,42.6,41.9,1720300941579
21.9,24,72.7,37.9,42.4,41.6,1720300996720
21.9,24,72.5,37.9,42.5,41.4,1720301051801
21.9,24,72.7,37.9,42.4,41.2,1720301106881
21.9,24,73,38,42.5,41.2,1720301162022
21.9,24,73.4,37.5,42.2,41.1,1720301217102
21.9,24,73.3,37.9,42.4,41,1720301272183
21.9,24.1,71.9,38,42.4,40.7,1720301327323
21.9,24.1,71.8,37.7,42.3,40.4,1720301382422
22,24.2,71.5,37.5,42.2,40.3,1720301437563
21.9,24.2,45.7,37.7,42.2,39.8,1720301492704
21.9,24.1,49.1,37.9,42.3,38.7,1720301547813
21.9,24,54,38,42.4,38.9,1720301602894
21.9,24,55.1,37.9,42.4,39.2,1720301658034
21.8,23.9,48.5,38.4,42.5,39.2,1720301713114
21.8,23.9,47.9,38.6,42.6,38.9,1720301768197
21.8,23.8,51.4,38.6,42.6,38.9,1720301823277
21.8,23.7,49.9,38.7,42.6,39.1,1720301878418
21.7,23.6,48.1,38.7,42.7,39,1720301933499
21.7,23.6,47.5,38.7,42.8,38.9,1720301988579
21.7,23.6,51.4,39,42.9,39,1720302043721
21.7,23.5,47.2,38.9,42.8,39.1,1720302098803
21.6,23.5,47.7,39.1,43,39,1720302153884
21.6,23.4,46.1,39.2,43.2,39,1720302209023
21.6,23.3,45.5,39.1,43,39,1720302264104
21.6,23.3,44.9,39,43,38.8,1720302319183
21.6,23.2,44.2,39.4,43.2,39,1720302374325
21.6,23.1,43.7,39.1,43.1,39.1,1720302429408
21.6,23,47.3,39.3,43.1,39,1720302484485
21.5,23,51.5,39.4,43.1,39.6,1720302539627
21.5,22.9,53.6,39.4,43.2,39.6,1720302594708
21.5,22.9,47.9,39.1,43.2,39.5,1720302649790
21.5,22.9,45.9,39.4,43.1,39.4,1720302704930
21.5,22.8,45,39.4,43.1,39.4,1720302760011
21.5,22.7,44.6,39.4,43.3,39.3,1720302815091
21.5,22.7,44.5,39.4,43.1,39.3,1720302870173
21.5,22.6,44.4,39.4,43.3,39.5,1720302925313
21.4,22.5,44.2,39.4,43.3,39.5,1720302980394
21.4,22.5,44.7,39.7,43.2,39.7,1720303035474
21.4,22.5,45.3,39.3,43.1,39.8,1720303090618
21.4,22.4,45.2,39.5,43.3,39.8,1720303145696
21.4,22.3,44.5,39.5,43.3,40,1720303200776
21.4,22.2,42.7,39.8,43.4,40,1720303255917
21.4,22.2,42.6,39.5,43.3,39.8,1720303310999
21.4,22.1,43.3,39.4,43.3,39.8,1720303366079
21.4,22.1,45.1,39.4,43.3,40.1,1720303421221
21.4,22,42.4,39.5,43.3,39.9,1720303476302
21.4,22,41.8,39.4,43.4,39.8,1720303531381
21.4,22,43.1,39.6,43.4,39.8,1720303586524
21.4,21.9,42.7,39.5,43.3,39.9,1720303641604
21.4,21.9,42.9,39.7,43.4,39.8,1720303696683
21.4,21.9,43.8,39.5,43.3,39.8,1720303751765
21.4,21.8,43.8,39.5,43.4,40,1720303806904
21.4,21.8,43.4,39.6,43.4,40.2,1720303861987
21.4,21.7,43.4,39.7,43.4,40,1720303917068
21.3,21.7,45.3,39.5,43.4,40,1720303972209
21.3,21.7,45.1,39.6,43.4,40.1,1720304027290
21.3,21.7,44.8,39.6,43.3,40,1720304082370
21.3,21.7,47.4,39.5,43.4,40.1,1720304137510
21.3,21.7,45.2,39.7,43.5,40.2,1720304192589
21.3,21.6,45.7,39.7,43.4,40.1,1720304247673
21.3,21.6,44.6,39.9,43.7,40.1,1720304302813
21.3,21.5,44.2,39.7,43.5,40.1,1720304357896
21.3,21.5,43.8,39.7,43.4,40,1720304412974
21.3,21.5,43.9,39.9,43.5,40,1720304468118
21.3,21.5,44.1,39.8,43.4,40,1720304523198
21.3,21.5,44.2,39.6,43.5,40,1720304578278
21.3,21.4,44.6,39.9,43.6,40.1,1720304633417
21.3,21.4,44.6,39.7,43.5,40.3,1720304688499
21.3,21.3,44.5,39.7,43.5,40.3,1720304743581
21.2,21.3,46.8,39.6,43.5,40.3,1720304798659
21.2,21.3,48.1,39.8,43.6,40.4,1720304853802
21.2,21.2,47.3,39.8,43.6,40.5,1720304908882
21.2,21.2,48.4,39.7,43.6,40.6,1720304963963
21.2,21.1,50.6,39.8,43.6,40.6,1720305019104
21.2,21.1,48.7,39.6,43.6,40.8,1720305074184
21.2,21.1,43.6,39.8,43.6,40.7,1720305129264
21.2,21.2,44.3,39.7,43.4,40.8,1720305184407
21.2,21.4,44,39.8,43.6,40.9,1720305239487
21.2,21.5,43,39.7,43.5,41.1,1720305294568
21.2,21.6,48.4,39.8,43.6,41.4,1720305349709
21.2,21.7,44.2,39.5,43.5,41.8,1720305404789
21.2,21.9,42.5,39.7,43.4,42.4,1720305459871
21.2,21.9,42,39.8,43.7,42.1,1720305515010
21.2,21.8,43.2,39.7,43.3,41.6,1720305570091
21.1,21.7,43.2,39.7,43.5,41.5,1720305625171
21.1,21.6,43.4,39.7,43.5,41.6,1720305680316
21.1,21.5,44,39.6,43.5,41.7,1720305735393
21.1,21.5,44,39.5,43.5,41.6,1720305790474
21.1,21.4,43.9,39.8,43.6,41.6,1720305845555
21.1,21.3,44.3,39.8,43.6,41.5,1720305900697
21.1,21.3,44.6,39.8,43.6,41.5,1720305955776
21.1,21.3,46.3,39.6,43.6,41.5,1720306010857
21.1,21.2,44.2,39.6,43.6,41.6,1720306065999
21.1,21.1,44.9,39.7,43.7,41.6,1720306121080
21.1,21.1,45.7,39.8,43.6,41.6,1720306176161
21.1,21.1,45.7,39.7,43.7,42,1720306231302
21.1,21.1,46.8,39.9,43.5,42,1720306286383
21.1,21.3,45.1,39.7,43.4,42.1,1720306341463
21.1,21.5,45.1,39.9,43.7,41.9,1720306396603
21.1,21.5,45.7,39.7,43.6,42.2,1720306451684
21.1,21.7,44.2,39.6,43.5,42.6,1720306506766
21.1,21.7,45,39.5,43.5,43.2,1720306561907
21.1,21.7,47.4,39.6,43.4,42.2,1720306616987
21.1,21.7,50.2,39.7,43.4,42.9,1720306672067
21.1,21.7,52,39.8,43.4,43.2,1720306727207
21.1,21.7,53.7,39.6,43.4,43.5,1720306782289
21,21.7,54,39.7,43.5,43.3,1720306837371
21,21.7,54.6,39.7,43.4,43.2,1720306892450
21,21.7,53.6,39.7,43.4,42.8,1720306947592
21,21.7,51.5,39.4,43.4,42.3,1720307002672
21,21.7,50.6,39.8,43.5,42.1,1720307057753
21,21.7,49.6,39.8,43.7,41.8,1720307112893
21,21.6,49.2,39.5,43.5,41.6,1720307167974
21,21.6,47,39.6,43.6,41.4,1720307223055
20.9,21.5,50.6,39.7,43.7,40.8,1720307278197
20.9,21.5,52.1,39.8,43.6,41.6,1720307333278
20.9,21.5,52.3,39.7,43.5,42,1720307388421
20.9,21.7,53.2,39.7,43.6,42.4,1720307443500
20.9,21.9,54.8,39.6,43.4,42.7,1720307498580
20.9,22.1,56.1,39.4,43.4,42.7,1720307553661
20.9,22.3,55.9,39.4,43.3,42.6,1720307608801
20.9,22.5,53.9,39.7,43.6,43.6,1720307663883
20.9,22.5,51.1,39.4,43.4,42.1,1720307718963
20.9,22.5,51.2,39.4,43.3,41.7,1720307774043
20.9,22.4,50.7,39.4,43.4,41.8,1720307829185
20.9,22.3,50.4,39.4,43.4,41.9,1720307884267
20.9,22.2,51.6,39.5,43.3,42.3,1720307939346
20.9,22.1,50.6,39.4,43.4,42.6,1720307994486
20.9,22.1,46.6,39.6,43.4,42.1,1720308049568
20.9,22,45,39.5,43.4,41.5,1720308104649
20.9,21.9,43.8,39.4,43.4,41.7,1720308159790
20.9,21.7,44,39.4,43.3,41.7,1720308214870
20.9,21.7,44.9,39.4,43.4,42,1720308269952
20.9,21.6,45.1,39.6,43.6,42.4,1720308325091
20.8,21.5,45.4,39.4,43.3,42.4,1720308380171
20.8,21.5,41.7,39.5,43.4,43,1720308435253
20.8,21.5,45.5,39.5,43.6,42.2,1720308490393
20.8,21.5,41.7,39.7,43.5,43.3,1720308545474
20.8,21.4,39,39.5,43.4,42.6,1720308600556
20.8,21.3,37.2,39.7,43.4,42,1720308655696
20.8,21.3,36.8,39.7,43.4,41.7,1720308710778
20.8,21.2,37.2,39.6,43.6,41.8,1720308765859
20.8,21.1,36.4,39.5,43.4,42,1720308820940
20.8,21.1,35.9,39.7,43.6,41.8,1720308876078
20.8,21.1,35.8,39.8,43.6,41.9,1720308931161
20.8,21.1,35.6,39.9,43.5,41.8,1720308986242
20.7,21,35.6,39.9,43.5,41.9,1720309041383
20.7,21,35.7,40,43.6,41.7,1720309096462
20.7,21,36,39.6,43.7,41.9,1720309151542
20.7,21,35.9,39.7,43.6,42,1720309206685
20.7,20.9,35.8,39.8,43.7,41.9,1720309261765
20.7,20.9,35.8,39.8,43.6,41.8,1720309316847
20.6,20.9,35.8,39.9,43.8,41.9,1720309371987
20.6,20.9,36.4,39.7,43.7,41.8,1720309427068
20.6,20.9,37.1,39.8,43.6,41.9,1720309482149
20.6,20.9,37.5,39.8,43.6,41.9,1720309537290
20.6,20.8,37.5,39.7,43.6,41.9,1720309592372
