Temp Sensor 1,Temp Sensor 2,Light Percentage,Soil Moisture 1,Soil Moisture 2,Humidity,Timestamp
20.4,20.3,42.4,70,73.4,50.7,1717874856515
20.4,20.3,42.4,69.9,73.4,50.7,1717874887012
20.4,20.3,42.6,70,73.4,50.7,1717874917673
20.4,20.3,42.5,70,73.4,50.7,1717874948273
20.4,20.3,42.1,70,73.4,50.7,1717874978933
20.4,20.3,41.6,70,73.4,50.7,1717875009594
20.4,20.3,41.3,70,73.3,50.5,1717875040194
20.4,20.3,41.4,70,73.4,49.9,1717875070854
20.4,20.3,42,70.1,73.3,49.5,1717875101454
20.4,20.3,42.2,69.9,73.4,49.4,1717875132115
20.4,20.3,42.2,70.2,73.4,49.1,1717875162716
20.4,20.3,42.2,70,73.4,49.2,1717875193375
20.4,20.3,42.2,70.3,73.4,49.2,1717875224036
20.4,20.3,42.7,69.9,73.4,48.9,1717875254637
20.4,20.3,43.1,70,73.4,48.6,1717875285297
20.4,20.2,43.4,70.2,73.4,48.3,1717875315898
20.4,20.2,43.8,70.1,73.4,48.2,1717875346558
20.4,20.2,43.9,70.3,73.3,47.9,1717875377219
20.4,20.1,43.8,70.1,73.5,47.7,1717875407819
20.4,20.1,44.2,70,73.4,47.8,1717875438481
20.3,20.1,45,70.1,73.5,48.7,1717875469080
20.3,20,45.9,70,73.5,49.4,1717875499741
20.4,20.1,46.4,70.1,73.5,49.9,1717875530341
20.4,20,46.5,70,73.5,50,1717875561001
20.4,20,46.2,70.2,73.5,50.1,1717875591662
20.3,20,46,70,73.4,50.3,1717875622262
20.4,20,45.8,70.1,73.5,50.5,1717875652922
20.3,20,45.8,70,73.4,50.7,1717875683522
20.3,20,45.9,70,73.5,50.8,1717875714183
20.3,20,46.2,70.1,73.6,50.7,1717875744844
20.3,20,46.7,70.1,73.4,50.5,1717875775444
20.3,20,47.4,70.1,73.4,50.5,1717875806104
20.3,20,47.6,70.1,73.5,50.5,1717875836705
20.3,20,48,70.3,73.4,50.6,1717875867425
20.4,20,48.2,70.2,73.5,50.6,1717875897965
20.3,20,48.6,70.3,73.4,50.6,1717875928626
20.3,20,48.6,70.3,73.5,50.6,1717875959286
20.3,20,48.9,70,73.4,50.6,1717875989887
20.3,20,49.1,70,73.4,50.7,1717876020548
20.3,20,49.1,70,73.4,50.6,1717876051149
20.3,20,49.4,70,73.4,50.6,1717876081809
20.3,20,49.6,70.1,73.4,50.7,1717876112469
20.3,20,49.9,70.2,73.5,50.6,1717876143129
20.3,20.1,50.3,70.1,73.4,50.6,1717876173730
20.3,20.1,50.5,70,73.4,50.6,1717876204330
20.3,20,50.6,70.1,73.4,50.6,1717876234991
20.3,20.1,50.5,70.3,73.4,50.6,1717876265590
20.3,20.1,50.4,70.2,73.4,50.5,1717876296252
20.3,20.1,50.6,70.2,73.4,50.6,1717876326912
20.3,20.1,51.2,70.2,73.4,50.6,1717876357512
20.3,20.1,51.2,70.2,73.4,50.5,1717876388173
20.3,20.1,51.7,70,73.4,50.6,1717876418773
20.3,20.1,52.5,70.1,73.3,50.6,1717876449434
20.3,20.1,53.2,70.2,73.4,50.6,1717876480094
20.3,20.1,53.5,70.1,73.4,50.6,1717876510712
20.3,20.1,53.5,70.2,73.3,50.6,1717876541372
20.3,20.1,53.5,70,73.3,50.7,1717876572031
20.3,20.1,53.8,70.2,73.3,50.7,1717876602722
20.3,20.1,54.3,70.1,73.3,50.6,1717876633320
20.3,20.1,54.7,70.2,73.2,50.7,1717876663982
20.3,20.2,54.6,70.2,73.4,50.6,1717876694643
20.3,20.1,54.9,70.1,73.3,50.7,1717876725242
20.3,20.2,55.1,70,73.3,50.7,1717876755903
20.3,20.2,55.8,70,73.4,50.6,1717876786504
20.3,20.2,56.3,70.2,73.4,50.7,1717876817164
20.3,20.2,56.8,70.2,73.3,50.7,1717876847824
20.3,20.2,57,70,73.3,50.7,1717876878425
20.3,20.3,56.7,70,73.2,50.7,1717876909085
20.3,20.3,56.3,70.1,73.4,50.7,1717876939685
20.3,20.3,56.8,70,73.3,50.6,1717876970346
20.3,20.3,57.2,70,73.2,50.6,1717877000946
